,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
848,473.0,-443.5,-56.22,29.7929,0.0169674436,331.398748,22.250857999999997,-0.008064321999999999,0.0,506.997335,-6.043999999999997,-3.626399999999998,-4.230799999999998,-2.417599999999999,,0.0,190.33070685704212,365.9425646858118
849,473.55,-433.9,-54.84,29.845315000000003,0.016950880459999998,330.56639779999995,22.251906299999998,-0.008283416700000013,0.0,506.79553725,-4.6640000000000015,-2.798400000000001,-3.264800000000001,-1.8656000000000006,,0.0,190.4785369293143,362.9618993460334
850,474.1,-439.0,-55.54,29.897550000000003,0.0169343742,329.736906,22.252951,-0.008501759000000012,0.0,506.5944325,-5.363999999999997,-3.218399999999998,-3.7547999999999977,-2.145599999999999,,0.0,190.62585933368587,360.0010290418477
851,474.65,-443.7,-56.24,29.948974999999997,0.016918123900000002,328.92027700000006,22.2539795,-0.00871671549999999,0.0,506.39644625,-6.064,-3.6384,-4.2448,-2.4256,,0.0,190.77089723250484,360.3538188886348
852,475.2,-438.6,-55.49,30.0004,0.0169018732,328.10370400000005,22.25502,-0.008931327999999997,0.0,506.199068,-5.314,-3.1884,-3.7197999999999998,-2.1256,,0.0,190.9159351313238,360.70660873542187
853,475.75,-438.4,-55.5,30.051825,0.016885571475,327.2942745,22.25759125,-0.009102059000000003,0.0,506.07924775,-5.323999999999998,-3.1943999999999986,-3.7267999999999986,-2.1295999999999995,,0.0,191.06097303014278,361.059398582209
854,476.3,-442.5,-55.91,30.105980000000002,0.01686840434,326.4418748,22.260299,-0.009281853600000008,0.0,505.9530666,-5.733999999999995,-3.440399999999997,-4.013799999999996,-2.293599999999998,,0.0,191.21371055878723,361.43091699062427
855,476.85,-444.2,-56.39,30.162410000000005,0.01685051603,325.55366659999993,22.2631205,-0.009469201200000017,0.0,505.82158469999996,-6.213999999999999,-3.728399999999999,-4.349799999999998,-2.4856,,0.0,191.3728644456196,361.81804253372974
856,477.4,-443.1,-56.23,30.21884,0.01683262772,324.66545840000003,22.265942,-0.009656548800000001,0.0,505.6901028,-6.053999999999995,-3.632399999999997,-4.2377999999999965,-2.421599999999998,,0.0,191.53201833245194,362.2051680768351
857,477.95,-440.5,-55.67,30.27527,0.01681473941,323.7772502,22.2687635,-0.009843896399999998,0.0,505.5586209,-5.494,-3.2963999999999998,-3.8457999999999997,-2.1976,,0.0,191.6911722192843,362.5922936199405
858,478.5,-440.7,-55.86,30.3319,0.0167967877,322.885894,22.271594999999998,-0.010031908000000004,0.0,505.426673,-5.6839999999999975,-3.4103999999999983,-3.978799999999998,-2.273599999999999,,0.0,191.84848070526294,362.9807912188429
859,479.05,-438.8,-55.55,30.388550000000002,0.01677882965,321.994223,22.274427499999998,-0.010219986000000007,0.0,505.2946785,-5.373999999999995,-3.224399999999997,-3.7617999999999965,-2.149599999999998,,0.0,192.00570373242454,373.7597526165558
860,479.6,-440.3,-55.83,30.445200000000003,0.016760871599999998,321.10255199999995,22.27726,-0.010408064000000012,0.0,505.162684,-5.653999999999996,-3.3923999999999976,-3.957799999999997,-2.2615999999999987,,0.0,192.16292675958616,384.07064980375054
