
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
259.05	-405.3	-51.77
259.60	-408.3	-52.31
260.15	-406.5	-52.24
260.70	-400.8	-51.22
261.25	-403.2	-51.58
261.80	-397.5	-50.83
262.35	-401.0	-51.20
262.90	-401.5	-51.44
263.45	-400.4	-51.26
264.00	-400.3	-51.26
264.55	-407.3	-52.03
265.10	-403.0	-51.66
265.65	-404.2	-51.82
266.20	-401.2	-51.47
266.75	-397.2	-51.00
267.30	-396.9	-50.79
267.85	-397.8	-50.83
268.40	-409.5	-52.39
268.95	-397.1	-50.82
269.50	-390.3	-49.95
270.05	-397.5	-50.88
270.60	-401.9	-51.25
271.15	-392.4	-50.23
271.70	-399.9	-51.20
272.25	-399.3	-51.11
272.80	-396.7	-50.81
273.35	-402.1	-51.43
273.90	-401.8	-51.41
274.45	-397.5	-50.91
275.00	-400.2	-51.30
275.55	-395.0	-50.53
276.10	-404.4	-51.79
276.65	-402.1	-51.51
277.20	-397.9	-50.88
277.75	-393.4	-50.50
278.30	-397.7	-50.96
278.85	-397.4	-50.69
279.40	-397.4	-50.77
279.95	-399.0	-51.00
280.50	-391.8	-50.04
281.05	-392.7	-50.28
281.60	-401.1	-51.29
282.15	-396.1	-50.62
282.70	-397.7	-50.76
283.25	-395.6	-50.57
283.80	-398.6	-50.97
284.35	-394.9	-50.51
284.90	-394.9	-50.62
285.45	-407.4	-52.09
286.00	-403.4	-51.56
286.55	-392.2	-50.13
287.10	-400.4	-51.10
287.65	-391.1	-49.96
288.20	-388.5	-49.66
288.75	-394.8	-50.36
289.30	-397.7	-50.77
289.85	-401.2	-51.36
290.40	-391.9	-50.21
290.95	-393.3	-50.27
291.50	-394.3	-50.34
292.05	-395.0	-50.51
292.60	-392.4	-50.14
293.15	-393.5	-50.20
293.70	-390.0	-49.85
294.25	0.0	
294.80	-388.5	-49.74
295.35	-394.3	-50.41
295.90	-403.6	-51.69
296.45	-393.3	-50.29
297.00	-398.0	-50.95
297.55	-391.0	-50.05
298.10	-395.8	-50.49
298.65	-386.4	-49.30
299.20	-391.8	-50.08
299.75	-398.2	-50.91
300.30	-391.6	-50.13
300.85	-393.4	-50.41
301.40	-384.4	-49.08
301.95	-391.3	-50.07
302.50	-391.0	-49.95
303.05	-388.3	-49.63
303.60	-391.4	-49.99
304.15	-382.9	-48.91
304.70	-387.2	-49.53
305.25	-405.5	-51.94
305.80	-391.7	-50.06
306.35	-392.1	-50.17
306.90	-400.4	-51.19
307.45	-386.7	-49.62
308.00	-394.5	-50.55
308.55	-389.9	-49.93
309.10	-394.7	-50.48
309.65	-396.6	-50.81
310.20	-388.6	-49.63
310.75	-392.9	-50.36
311.30	-395.2	-50.40
311.85	-389.1	-49.94
312.40	-388.7	-49.72
312.95	-391.8	-50.00
313.50	-388.8	-49.65
314.05	-397.7	-50.81
314.60	-390.4	-49.84
315.15	-382.1	-48.89
315.70	-387.9	-49.43
316.25	-390.6	-49.71
316.80	-393.3	-50.16
317.35	-388.1	-49.77
317.90	-391.6	-50.14
318.45	-396.9	-50.68
319.00	-398.7	-51.06
319.55	-386.6	-49.50
320.10	-390.7	-49.99
320.65	-391.2	-50.01
321.20	-389.5	-49.82
321.75	-400.9	-51.15
322.30	-388.6	-49.68
322.85	-397.9	-50.89
323.40	-393.0	-50.25
323.95	-394.4	-50.32
324.50	-399.4	-50.98
325.05	-388.2	-49.65
325.60	-386.8	-49.42
326.15	-383.0	-49.01
326.70	-387.5	-49.58
327.25	-390.1	-49.80
327.80	-377.1	-48.06
328.35	-397.4	-50.59
328.90	-390.6	-49.88
329.45	-393.2	-50.16
330.00	-395.2	-50.42
330.55	-393.7	-50.34
331.10	-392.9	-50.19
331.65	-391.4	-49.90
332.20	-384.5	-48.94
332.75	-394.4	-50.32
333.30	-394.8	-50.45
333.85	-395.8	-50.33
334.40	-396.2	-50.65
334.95	-395.4	-50.15
335.50	-391.7	-49.89
336.05	-390.9	-49.71
336.60	-388.0	-49.36
337.15	-392.6	-49.90
337.70	-397.7	-50.77
338.25	-394.3	-50.29
338.80	-391.4	-49.79
339.35	-387.7	-49.53
339.90	-395.2	-50.36
340.45	-400.3	-50.96
341.00	-393.3	-50.11
341.55	-390.0	-49.61
342.10	-390.9	-49.91
342.65	-387.4	-49.38
343.20	-389.7	-49.69
343.75	-398.0	-50.80
344.30	-396.1	-50.46
344.85	-392.0	-49.86
345.40	-397.7	-50.53
345.95	-398.9	-50.75
346.50	-394.7	-50.34
347.05	-386.8	-49.28
347.60	-385.8	-49.25
348.15	-387.9	-49.43
348.70	-390.7	-49.85
349.25	-402.0	-51.21
349.80	-392.6	-50.07
350.35	-390.8	-49.85
350.90	-394.6	-50.23
351.45	-381.0	-48.57
352.00	-382.1	-48.69
352.55	-399.5	-50.90
353.10	-393.5	-50.26
353.65	-398.4	-50.62
354.20	-393.4	-50.11
354.75	-390.9	-49.62
355.30	-386.1	-49.18
355.85	-387.8	-49.62
356.40	-383.8	-48.82
356.95	-386.9	-49.27
357.50	-393.0	-49.92
358.05	-396.6	-50.34
358.60	-394.1	-50.13
359.15	-395.5	-50.27
359.70	-395.4	-50.32
360.25	-389.6	-49.47
360.80	-394.8	-50.14
361.35	-388.3	-49.46
361.90	-394.8	-50.23
362.45	-387.9	-49.49
363.00	-396.1	-50.46
363.55	-391.3	-49.86
364.10	-393.6	-50.17
364.65	-387.8	-49.29
365.20	-396.1	-50.36
365.75	-403.2	-51.37
366.30	-399.4	-50.83
366.85	-400.8	-51.01
367.40	-399.4	-50.74
367.95	-400.9	-50.99
368.50	-399.2	-50.77
369.05	-404.9	-51.49
369.60	-404.0	-51.51
370.15	-398.2	-50.66
370.70	-400.0	-50.82
371.25	-399.8	-50.66
371.80	-406.2	-51.67
372.35	-403.5	-51.37
372.90	-405.5	-51.59
373.45	-414.8	-52.94
374.00	-406.2	-51.84
374.55	-405.8	-51.67
375.10	-410.9	-52.40
375.65	-403.7	-51.36
376.20	-400.6	-51.08
376.75	-409.6	-52.03
377.30	-401.2	-50.97
377.85	-413.3	-52.54
378.40	-414.3	-52.82
378.95	-408.8	-52.11
379.50	-417.4	-53.19
380.05	-406.8	-51.78
380.60	-404.3	-51.35
381.15	-412.4	-52.36
381.70	-412.6	-52.43
382.25	-410.9	-52.29
382.80	-420.8	-53.51
383.35	-417.2	-53.11
383.90	-418.8	-53.21
384.45	-415.6	-52.83
385.00	-418.6	-53.30
385.55	-410.9	-52.24
386.10	-413.7	-52.63
386.65	-412.7	-52.42
387.20	-419.3	-53.30
387.75	-420.8	-53.63
388.30	-412.1	-52.52
388.85	-416.0	-52.98
389.40	-408.8	-52.04
389.95	-413.9	-52.57
390.50	-416.4	-52.95
391.05	-417.7	-53.03
391.60	-414.9	-52.72
392.15	-410.4	-52.17
392.70	-411.6	-52.54
393.25	-415.0	-52.68
393.80	-418.4	-53.11
394.35	-415.5	-52.87
394.90	-412.9	-52.52
395.45	-408.0	-51.90
396.00	-410.8	-52.28
396.55	-414.8	-52.78
397.10	-408.7	-52.14
397.65	-408.5	-51.91
398.20	-411.8	-52.43
398.75	-412.8	-52.62
399.30	-419.0	-53.43
399.85	-417.5	-53.17
400.40	-414.0	-52.63
400.95	-416.6	-53.14
401.50	-410.8	-52.36
402.05	-403.4	-51.38
402.60	-413.7	-52.60
403.15	-410.2	-52.25
403.70	-415.9	-52.97
404.25	-416.8	-53.06
404.80	-417.3	-53.22
405.35	-417.1	-53.15
405.90	-411.9	-52.16
406.45	-415.5	-52.91
407.00	-413.4	-52.54
407.55	-405.0	-51.48
408.10	-417.2	-53.00
408.65	-405.5	-51.54
409.20	-414.3	-52.68
409.75	-414.8	-52.83
410.30	-412.0	-52.42
410.85	-407.5	-51.79
411.40	-403.4	-51.24
411.95	-402.3	-51.01
412.50	-405.9	-51.57
413.05	-410.4	-52.30
413.60	-410.8	-52.19
414.15	-413.4	-52.44
414.70	-406.0	-51.54
415.25	-402.6	-51.15
415.80	-404.3	-51.45
416.35	-406.9	-51.69
416.90	-411.2	-52.33
417.45	-392.2	-49.94
418.00	-397.7	-50.48
418.55	-399.1	-50.66
419.10	-402.3	-51.08
419.65	-401.1	-50.87
420.20	-403.9	-51.27
420.75	-401.2	-50.93
421.30	-418.2	-53.05
421.85	-408.8	-51.82
422.40	-402.3	-51.02
422.95	-411.1	-52.08
423.50	-411.1	-52.15
424.05	-407.3	-51.68
424.60	-413.6	-52.49
425.15	-411.2	-51.93
425.70	-418.6	-52.97
426.25	-415.7	-52.74
426.80	-411.3	-52.14
427.35	-416.2	-52.66
427.90	-412.6	-52.43
428.45	-407.6	-51.76
429.00	-410.1	-51.95
429.55	-411.6	-52.19
430.10	-407.5	-51.75
430.65	-409.9	-51.98
431.20	-411.3	-52.19
431.75	-419.0	-53.21
432.30	-399.4	-50.88
432.85	-413.0	-52.41
433.40	-416.4	-52.82
433.95	-416.3	-52.81
434.50	-410.0	-51.84
435.05	-410.7	-52.16
435.60	-412.7	-52.35
436.15	-411.8	-52.12
436.70	-414.2	-52.59
437.25	-416.6	-52.80
437.80	-420.0	-53.34
438.35	-418.5	-53.01
438.90	-419.6	-53.14
439.45	-418.7	-53.06
440.00	-420.1	-53.31
440.55	-419.8	-53.27
441.10	-414.0	-52.65
441.65	-416.2	-52.87
442.20	-417.6	-53.02
442.75	-421.6	-53.44
443.30	-416.6	-52.93
443.85	-423.8	-53.75
444.40	-414.2	-52.57
444.95	-417.8	-52.87
445.50	-416.9	-53.00
446.05	-419.1	-53.15
446.60	-417.3	-52.93
447.15	-419.1	-53.16
447.70	-420.3	-53.38
448.25	-422.5	-53.59
448.80	-417.7	-52.94
449.35	-425.4	-53.96
449.90	-420.8	-53.38
450.45	-421.1	-53.33
451.00	-424.1	-53.83
451.55	-426.8	-54.25
452.10	-425.9	-53.93
452.65	-420.9	-53.31
453.20	-421.9	-53.44
453.75	-421.7	-53.47
454.30	-422.6	-53.38
454.85	-429.8	-54.49
455.40	-423.9	-53.61
455.95	-421.9	-53.37
456.50	-425.8	-53.79
457.05	-426.0	-53.93
457.60	-425.7	-53.73
458.15	-426.4	-54.21
458.70	-434.2	-55.16
459.25	-427.5	-54.19
459.80	-429.9	-54.53
460.35	-428.1	-54.19
460.90	-426.1	-53.92
461.45	-438.3	-55.50
462.00	-429.4	-54.47
