Event (Core)	Eruption	Type	Depth ice/snow [m] (top)	Depth ice/snow [m] (bottom)	Age [ka BP] (AICC2012 Age)	[SO4]2- [ng/g] (Ion chromatography)	δ34S [‰ CDT] (Multi-collector inductively c...)	δ34S std dev [±] (2s, Multi-collector inductive...)	δ33S [‰ CDT] (Multi-collector inductively c...)	δ33S std dev [±] (2s, Multi-collector inductive...)	Δ33S [‰] (Multi-collector inductively c...)	Δ33S std dev [±] (2s, Multi-collector inductive...)	fV	fV std dev [±]	δ34S [‰ CDT] (Calculated, in volcanic fraction)	δ34S std dev [±] (s, Calculated, in volcanic fr...)	δ33S [‰ CDT] (Calculated, in volcanic fraction)	δ33S std dev [±] (s, Calculated, in volcanic fr...)	Δ33S [‰] (Calculated, in volcanic fraction)	Δ33S std dev [±] (s, Calculated, in volcanic fr...)
EDML	T4	Event	1870.94	1870.96	74.03	910	3.92	0.11	2.12	0.11	0.10	0.12	0.92	0.04	2.88	0.58	1.60	0.32	0.12	0.15
EDML	T4	Event	1870.96	1871.00	74.03	445	13.21	0.11	6.85	0.15	0.07	0.16	0.83	0.07	12.80	0.30	6.66	0.24	0.09	0.25
EDML	T4	Background	1871.00	1871.10	74.03	69	15.53	0.11	7.99	0.10	0.02	0.10								
EDC	T4b	Event	1083.26	1083.30	74.12	146	14.64	0.15	7.44	0.09	-0.07	0.17								
EDC	T4b	Event	1083.30	1083.34	74.12	185	15.66	0.15	7.98	0.09	-0.06	0.17								
EDC	T4b	Event	1083.34	1083.38	74.13	240	10.59	0.15	5.33	0.09	-0.11	0.17	0.44	0.11	2.21	5.01	0.93	2.65	-0.20	0.19
EDC	T4b	Event	1083.38	1083.42	74.13	431	3.64	0.15	1.76	0.09	-0.11	0.17	0.69	0.07	-2.29	1.80	-1.31	0.94	-0.13	0.13
EDC	T4b	Event	1083.42	1083.46	74.13	187	12.26	0.15	6.26	0.09	-0.04	0.17								
EDC	T4b	Background	1083.46	1083.50	74.14	135	16.23	0.15	8.29	0.09	-0.03	0.17								
EDML	T5	Event	1877.37	1877.48	74.53	75	14.13	0.11	7.30	0.10	0.05	0.10	0.30	0.22	2.57	53.01	2.72	29.12	1.94	32.76
EDML	T5	Event	1877.48	1877.54	74.54	117	10.60	0.11	5.37	0.10	-0.08	0.10	0.37	0.21	-13.57	64.06	-7.06	34.31	0.80	14.68
