Gas age [ka BP]	CO2 [ppmv]
501.857000	230.8
502.641000	231.2
503.414000	232.0
504.171000	232.2
504.910000	234.1
505.692000	233.9
506.481000	235.5
507.313000	236.0
508.120000	238.2
508.940000	237.0
509.786000	240.3
510.654000	233.4
511.511000	236.4
512.366000	235.2
513.204000	242.0
514.030000	238.2
514.856000	239.2
515.653000	241.5
516.426000	243.0
517.157000	247.2
517.878000	246.2
518.603000	245.5
519.330000	245.3
520.073000	247.7
520.817000	245.5
521.576000	243.5
523.804000	241.9
524.577000	236.8
525.337000	235.8
526.109000	233.7
526.897000	230.3
527.696000	227.8
528.513000	224.7
529.408000	222.7
530.300000	221.2
531.221000	220.3
532.082000	220.7
532.607000	214.5
532.993000	211.4
533.558000	204.4
533.935000	200.0
534.666000	195.1
535.043000	193.8
535.705000	190.5
536.181000	199.8
537.339000	199.4
538.456000	205.0
539.513000	206.4
540.587000	212.9
541.653000	211.2
542.744000	205.0
543.851000	203.6
544.888000	208.1
545.863000	210.3
546.830000	209.6
547.804000	209.7
548.759000	204.6
549.726000	202.5
550.226000	208.8
550.581000	213.6
551.373000	215.2
552.098000	219.9
552.675000	221.7
553.018000	222.3
553.246000	226.3
553.614000	222.1
553.811000	220.3
554.484000	223.6
555.156000	224.3
555.849000	226.7
556.413000	233.9
556.926000	241.0
557.199000	243.0
557.394000	249.1
557.651000	244.0
557.834000	250.5
558.147000	245.6
558.304000	240.4
558.775000	238.1
559.314000	234.5
559.635000	229.7
559.870000	230.2
560.436000	230.3
560.964000	228.3
561.451000	231.6
561.890000	231.9
562.312000	234.6
562.655000	234.1
563.134000	240.1
563.537000	242.3
563.929000	245.7
564.311000	245.8
564.725000	247.6
565.135000	251.4
565.536000	252.4
565.893000	252.6
566.249000	251.4
566.588000	253.7
566.918000	254.3
567.240000	253.9
567.549000	254.5
567.886000	253.2
568.207000	253.9
568.536000	252.8
568.931000	253.0
569.316000	250.2
569.684000	251.3
570.067000	250.0
570.464000	251.3
570.862000	251.8
571.263000	251.8
571.632000	249.6
571.975000	251.6
572.314000	250.3
572.669000	246.3
573.055000	247.7
573.478000	249.2
573.916000	248.7
574.365000	251.8
574.807000	251.9
575.234000	252.1
575.652000	248.9
576.114000	252.5
576.596000	252.9
577.116000	251.3
577.655000	251.3
578.202000	251.1
578.756000	249.1
579.285000	252.9
579.836000	251.5
580.220000	244.1
580.406000	243.8
580.827000	236.2
581.128000	230.3
581.555000	225.2
581.917000	219.4
582.450000	215.4
582.844000	209.9
583.572000	206.7
583.992000	210.6
586.715000	224.0
587.162000	226.0
587.900000	234.4
588.297000	238.8
588.959000	246.3
589.428000	250.2
590.030000	248.1
590.488000	243.6
591.010000	237.4
592.383000	225.7
592.799000	229.4
593.582000	233.2
594.076000	238.1
594.874000	238.0
595.419000	232.9
596.222000	221.2
596.791000	216.4
597.794000	216.3
598.307000	219.0
599.227000	226.0
599.824000	229.4
601.257000	232.5
602.600000	237.9
603.947000	239.1
605.301000	244.5
606.622000	248.5
607.976000	254.6
609.263000	259.2
610.432000	257.7
611.607000	259.6
612.768000	258.0
613.947000	256.0
615.144000	252.5
616.354000	252.4
617.606000	252.3
618.956000	247.9
620.297000	245.4
621.647000	243.0
623.043000	238.6
624.540000	237.3
625.447000	234.3
626.110000	227.8
627.032000	214.9
627.854000	205.0
629.141000	198.7
629.861000	199.9
631.549000	199.5
632.358000	195.6
634.055000	192.1
635.016000	193.9
636.527000	193.0
637.702000	194.3
639.397000	187.7
640.329000	189.1
642.080000	190.2
642.856000	190.4
644.295000	194.1
645.126000	194.6
646.375000	188.6
647.268000	190.5
648.607000	192.1
649.193000	194.8
650.337000	187.8
650.933000	192.0
